Dormammu-r,Bokosuka wars,0,mwc,f,S,m,1:4.6,0,2,2,13-03-2016
Kuando,Tiria,1,mwc,A,B,m,1.5:1,0,2,2,13-03-2016
Nao EX3,Ryuhi SD,0,mwc,f,S,m,3.5:1,0,2,2,13-03-2016
Death13 EX3,Snorlax EX2,1,mwc,A,S,m,36.6:1,0,2,2,13-03-2016
Loud Demon M1,The tick,0,mwc,A,B,m,4.2:1,0,2,2,13-03-2016
Dragon EX2,Leonardo EX,1,mwc,A,B,m,3.1:1,0,2,2,13-03-2016
Lynn baker,Magneto mvc2,1,mwc,A,B,m,1.3:1,0,2,2,13-03-2016
Kinopio EX,Wolverine_cota,1,mwc,A,S,m,1:91.8,0,2,2,13-03-2016
Missing iq gomes,Rbff master geese,1,mwc,f,S,m,1:20.4,0,2,2,13-03-2016
Rugal CVS,Slash EX,1,mwc,A,B,m,1.7:1,0,2,2,13-03-2016
Iroquois pliskin,Black widow,0,mwc,A,B,m,2.1:1,0,2,2,13-03-2016
Skapon,Custom ssfiv oni,0,mwc,A,B,m,4.4:1,0,2,2,13-03-2016
Rodan,Symbiote spider-man,1,mwc,A,A,m,1:1.1,0,2,2,13-03-2016
Gengetu EX,Lucifer 2,0,mwc,A,B,m,6.1:1,0,2,2,13-03-2016
Faud EX3,T. kawk,1,mwc,A,A,m,1:1,0,2,2,13-03-2016
True k',Mr. bear,0,mwc,A,A,m,2.8:1,0,2,2,13-03-2016
Mr.karateka,Shikyoh,0,mwc,A,S,m,1.1:1,0,2,2,13-03-2016
Ramparudo,Jack frost,0,mwc,A,B,m,2.2:1,0,2,2,13-03-2016
Thalia,Claus,1,mwc,A,S,m,1:2.7,0,2,2,13-03-2016
Raidou,Rockman x EX2,1,mwc,t,S,m,1:44.6,0,2,2,13-03-2016
A-agito,Ohga,0,mwc,t,S,t,2:1,0,2,2,13-03-2016
Yatteyaru-death,Full armor ciel,1,mwc,A,S,t,1:1.6,0,2,2,13-03-2016
Dead geese,Deluxe kung fu man,1,mwc,A,S,t,4.6:1,0,2,2,13-03-2016
K' dempsey,Qb,0,mwc,t,S,t,1.5:1,0,2,2,13-03-2016
Tyrant J,Arcadboy,0,mwc,t,S,t,2.1:1,0,2,2,13-03-2016
Saku EX2,Super3 goku,0,mwc,A,S,t,1.2:1,0,2,2,13-03-2016
Hayate EX,Lf2 - deep,0,mwc,A,S,t,2.4:1,0,2,2,13-03-2016
